Word,Meaning
100,NULL
abacus,"counting frame, is a calculating tool that was in use in the"
abandon,"
----------transitive verb----------
Meaning: Cease to support or look after (someone); desert.
Example: her natural mother had abandoned her at an early age

(desert,leave,leave high and dry,turn one's back on,cast aside,break with,break up with,)
----------transitive verb----------
Meaning: Give up completely (a course of action, a practice, or a way of thinking)
Example: he had clearly abandoned all pretense of trying to succeed

(renounce,relinquish,dispense with,forswear,disclaim,disown,disavow,discard,wash one's hands of,)
----------transitive verb----------
Meaning: Allow oneself to indulge in (a desire or impulse)
Example: they abandoned themselves to despair

(indulge in,give way to,give oneself up to,yield to,lose oneself in,lose oneself to,)

----------noun----------
Meaning: Complete lack of inhibition or restraint.
Example: she sings and sways with total abandon

(uninhibitedness,recklessness,lack of restraint,lack of inhibition,unruliness,wildness,impulsiveness,impetuosity,immoderation,wantonness,)
"
abate,"
----------intransitive verb----------
Meaning: (of something perceived as hostile, threatening, or negative) become less intense or widespread.
Example: the storm suddenly abated

(subside,die away,die down,die out,drop away,drop off,lessen,ease,ease off,let up,decrease,diminish,moderate,decline,fade,dwindle,slacken,recede,cool off,tail off,peter out,taper off,wane,ebb,relent,desist,weaken,become weaker,come to an end,)
"
abdication,"
----------noun----------
Meaning: An act of abdicating or renouncing the throne.
Example: Edward VIII did not marry until after his abdication

(resignation,retirement,)
----------noun----------
Meaning: Failure to fulfill a responsibility or duty.
Example: we are witnessing an abdication of responsibility on the part of state governments

(disowning,renunciation,rejection,refusal,avoidance,abnegation,relinquishment,abjuration,repudiation,waiving,yielding,forgoing,abandonment,surrender,disgorgement,casting aside,)
"
abdomen,"
----------noun----------
Meaning: The part of the body of a vertebrate containing the digestive organs; the belly. In humans and other mammals, it is bounded by the diaphragm and the pelvis.
Example: It is quite common to develop a vertical, pigmented line on the skin of the abdomen below the belly button, which fades later.

(stomach,belly,gut,middle,midriff,intestines,)
"
aberration,"
----------noun----------
Meaning: A departure from what is normal, usual, or expected, typically one that is unwelcome.
Example: they described the outbreak of violence in the area as an aberration

(anomaly,deviation,divergence,abnormality,irregularity,variation,digression,edge case,freak,rogue,rarity,quirk,oddity,curiosity,mistake,)
"
abet,"
----------transitive verb----------
Meaning: Encourage or assist (someone) to do something wrong, in particular, to commit a crime or other offense.
Example: he was not guilty of murder but was guilty of aiding and abetting others

(assist,aid,help,lend a hand,support,back,encourage,)
"
abeyance,"
----------noun----------
Meaning: A state of temporary disuse or suspension.
Example: matters were held in abeyance pending further inquiries

(suspend,adjourn,interrupt,break off,postpone,delay,defer,shelve,arrest,put off,intermit,prorogue,hold over,put aside,pigeonhole,)
"
abhor,"
----------transitive verb----------
Meaning: Regard with disgust and hatred.
Example: professional tax preparers abhor a flat tax because it would dry up their business

(abhor,hate,loathe,despise,abominate,execrate,regard with disgust,feel disgust for,feel repugnance towards,feel distaste for,shrink from,recoil from,shudder at,be unable to bear,be unable to abide,feel hostility to,feel aversion to,feel animosity to,find intolerable,dislike,disdain,have an aversion to,)
"
abhorrent,"
----------adjective----------
Meaning: Inspiring disgust and loathing; repugnant.
Example: racial discrimination was abhorrent to us all

(detestable,detested,hateful,hated,loathsome,loathed,despicable,despised,abominable,abominated,execrable,execrated,repellent,repugnant,repulsive,revolting,disgusting,distasteful,horrible,horrid,horrifying,awful,heinous,reprehensible,obnoxious,odious,nauseating,offensive,contemptible,)
"
abide,"
----------verb----------
Meaning: Accept or act in accordance with (a rule, decision, or recommendation)
Example: I said I would abide by their decision

(comply with,obey,observe,follow,keep to,hold to,conform to,adhere to,stick to,stand by,act in accordance with,uphold,heed,pay attention to,agree to,agree with,consent to,accede to,accept,acquiesce in,go along with,acknowledge,respect,defer to,)
----------verb----------
Meaning: Be unable to tolerate (someone or something)

(tolerate,bear,stand,put up with,endure,suffer,accept,cope with,live with,brook,support,take,countenance,face,handle,)
----------verb----------
Meaning: (of a feeling or memory) continue without fading or being lost.
Example: at least one memory will abide

(continue,remain,survive,last,persist,stay,hold on,live on,)
"
abjure,"
----------transitive verb----------
Meaning: Solemnly renounce (a belief, cause, or claim)
Example: his refusal to abjure the Catholic faith

(renounce,relinquish,reject,dispense with,forgo,forswear,disavow,abandon,deny,gainsay,disclaim,repudiate,give up,spurn,abnegate,wash one's hands of,drop,do away with,)
"
aboard,"

"
abolish,"
----------transitive verb----------
Meaning: Formally put an end to (a system, practice, or institution)
Example: the tax was abolished in 1977

(put an end to,do away with,get rid of,scrap,end,stop,terminate,eradicate,eliminate,exterminate,destroy,annihilate,stamp out,obliterate,wipe out,extinguish,quash,expunge,extirpate,)
"
abrade,"
----------verb----------
Meaning: Scrape or wear away by friction or erosion.
Example: it was a landscape slowly abraded by a fine, stinging dust

(wear away,wear down,wear,erode,scrape away,corrode,eat away at,gnaw away at,bite into,scour,rasp,strip,flay,)
"
abrogate,"
----------transitive verb----------
Meaning: Repeal or do away with (a law, right, or formal agreement)
Example: a proposal to abrogate temporarily the right to strike

(repudiate,revoke,repeal,rescind,overturn,overrule,override,do away with,annul,cancel,break off,invalidate,nullify,void,negate,dissolve,countermand,veto,declare null and void,discontinue,)
"
abruptly,suddenly and unexpectedly
abscond,"
----------intransitive verb----------
Meaning: Leave hurriedly and secretly, typically to avoid detection of or arrest for an unlawful action such as theft.
Example: she absconded with the remaining thousand dollars

(run away,escape,bolt,clear out,flee,make off,take flight,take off,fly,decamp,)
"
absolutely,"
----------adverb----------
Meaning: With no qualification, restriction, or limitation; totally.
Example: she trusted him absolutely

(completely,totally,utterly,perfectly,entirely,wholly,fully,quite,thoroughly,unreservedly,)
"
absorb,NULL
abstract,"
----------adjective----------
Meaning: Existing in thought or as an idea but not having a physical or concrete existence.
Example: abstract concepts such as love or beauty

(theoretical,conceptual,notional,intellectual,metaphysical,philosophical,academic,)
----------adjective----------
Meaning: Relating to abstract art.
Example: abstract pictures that look like commercial color charts

(non-representational,non-realistic,non-pictorial,symbolic,impressionistic,)

----------transitive verb----------
Meaning: Extract or remove (something)
Example: applications to abstract more water from streams

(extract,pump,draw,draw off,tap,suck,withdraw,remove,take away,take out,)
----------transitive verb----------
Meaning: Make a written summary of (an article or book)
Example: staff who index and abstract material for an online database

(summarize,write a summary of,precis,abridge,condense,compress,shorten,cut down,abbreviate,synopsize,)

----------noun----------
Meaning: A summary of the contents of a book, article, or formal speech.
Example: an abstract of his inaugural address

(summary,synopsis,precis,résumé,outline,recapitulation,abridgement,condensation,digest,summation,)
"
abstruse,"
----------adjective----------
Meaning: Difficult to understand; obscure.
Example: an abstruse philosophical inquiry

(obscure,arcane,esoteric,little known,recherché,rarefied,recondite,difficult,hard,puzzling,perplexing,enigmatic,inscrutable,cryptic,Delphic,complex,complicated,involved,above one's head,over one's head,incomprehensible,unfathomable,impenetrable,mysterious,)
"
abuse,"
----------transitive verb----------
Meaning: Use (something) to bad effect or for a bad purpose; misuse.
Example: the judge abused his power by imposing the fines

(misuse,misapply,misemploy,mishandle,)
----------transitive verb----------
Meaning: Treat (a person or an animal) with cruelty or violence, especially regularly or repeatedly.
Example: riders who abuse their horses should be prosecuted

(mistreat,maltreat,ill-treat,treat badly,ill-use,misuse,)
----------transitive verb----------
Meaning: Speak in an insulting and offensive way to or about (someone)
Example: the referee was abused by players from both teams

(insult,be rude to,swear at,curse,call someone names,taunt,shout at,scold,rebuke,upbraid,reprove,castigate,inveigh against,impugn,slur,revile,smear,vilify,vituperate against,slander,libel,cast aspersions on,offend,slight,disparage,denigrate,defame,)

----------noun----------
Meaning: The improper use of something.
Example: alcohol abuse

(misuse,misapplication,misemployment,mishandling,)
----------noun----------
Meaning: Cruel and violent treatment of a person or animal.
Example: a black eye and other signs of physical abuse

(mistreatment,maltreatment,ill treatment,ill use,misuse,)
----------noun----------
Meaning: Insulting and offensive language.
Example: waving his fists and hurling abuse at the driver

(insults,curses,jibes,slurs,expletives,swear words,)
"
abut,"
----------transitive verb----------
Meaning: (of an area of land or a building) be next to or have a common boundary with.
Example: gardens abutting Prescott Street

(neighbouring,adjacent,adjoining,next-door,bordering,abutting,)
"
abysmal,"
----------adjective----------
Meaning: Extremely bad; appalling.
Example: the quality of her work is abysmal

(very bad,dreadful,awful,terrible,frightful,atrocious,disgraceful,deplorable,shameful,woeful,hopeless,lamentable,laughable,substandard,poor,inadequate,inferior,unsatisfactory,)
----------adjective----------
Meaning: Very deep.
Example: waterfalls that plunge into abysmal depths

(profound,extreme,utter,complete,thorough,deep,endless,immeasurable,boundless,incalculable,unfathomable,bottomless,)
"
accelerated,"
----------verb----------
Meaning: (especially of a vehicle) begin to move more quickly.
"
acceleration,"
----------noun----------
Meaning: A vehicle's capacity to gain speed within a short time.
Example: a Formula One car is superior to an Indy car in its acceleration

(speeding up,increasing speed,increase in speed,gain in momentum,gathering speed,opening up,)
"
accessibility,"
----------noun----------
Meaning: The quality of being able to be reached or entered.
Example: the restoration project involved repairing the roof and improving accessibility

(ease of access,availability,approachability,obtainability,)
"
accidentally,"
----------adverb----------
Meaning: By chance; inadvertently.
Example: his gun went off accidentally

(fortuitously,by accident,by chance,by a mere chance,by a twist of fate,adventitiously,as luck would have it,by a fluke,flukily,coincidentally,by coincidence,serendipitously,)
"
acclaimed,"publicly praised, celebrated"
accolade,"
----------noun----------
Meaning: An award or privilege granted as a special honor or as an acknowledgment of merit.
Example: the ultimate official accolade of a visit by the president

(honour,recognition,privilege,award,gift,title,)
"
accommodate,"
----------transitive verb----------
Meaning: (of physical space, especially a building) provide lodging or sufficient space for.
Example: the cabins accommodate up to 6 people

(lodge,house,put up,billet,quarter,board,take in,provide shelter for,shelter,give a bed to,give someone a roof over their head,provide a roof over someone's head,harbour,make room for,give accommodation to,provide with accommodation,provide accommodation for,)
----------transitive verb----------
Meaning: Fit in with the wishes or needs of.
Example: any language must accommodate new concepts

(help,fit in with,allow for,assist,aid,lend a hand to,oblige,serve,do someone a service,meet the needs of,meet the wants of,do someone a good turn,favour,do someone a favour,cater for,indulge,pander to,humour,gratify,satisfy,)
"
accompanied,"
----------verb----------
Meaning: Go somewhere with (someone) as a companion or escort.
Example: the two sisters were to accompany us to London

(go with,go along with,travel with,keep someone company,tag along with,partner,escort,chaperone,attend,follow,conduct,lead,take,show,see,guide,steer,usher,pilot,convoy,help,assist,show someone the way,)
----------verb----------
Meaning: Be present or occur at the same time as (something else)
Example: the illness is often accompanied by nausea

(occur with,co-occur with,coincide with,coexist with,go with,go along with,go together with,go hand in hand with,appear with,)
----------verb----------
Meaning: Play a musical accompaniment for.
Example: he would play his violin, and Mother used to accompany him on our organ

(back,play a musical accompaniment for,play with,play for,support,)
"
accompany,"
----------transitive verb----------
Meaning: Go somewhere with (someone) as a companion or escort.
Example: the two sisters were to accompany us to New York

(go with,go along with,travel with,keep someone company,tag along with,partner,escort,chaperone,attend,follow,conduct,lead,take,show,see,guide,steer,usher,pilot,convoy,help,assist,show someone the way,)
----------transitive verb----------
Meaning: Be present or occur at the same time as (something else)
Example: the illness is often accompanied by nausea

(occur with,co-occur with,coincide with,coexist with,go with,go along with,go together with,go hand in hand with,appear with,)
----------transitive verb----------
Meaning: Play a musical accompaniment for.
Example: he would play his violin, and Mother used to accompany him on our organ

(back,play a musical accompaniment for,play with,play for,support,)
"
according,"
----------adverb----------
Meaning: As stated by or in.
Example: the outlook for investors is not bright, according to financial experts

(as stated by,as maintained by,as claimed by,on the authority of,on the report of,in the opinion of,)
"
accountant,"
----------noun----------
Meaning: A person whose job is to keep, inspect, and analyse financial accounts.
Example: Financial control is not as popular with qualified accountants as it used to be.

(clerk,bank clerk,teller,bank teller,banker,treasurer,bursar,purser,)
"
accrete,"
----------intransitive verb----------
Meaning: Grow by accumulation or coalescence.
"
accretion,"
----------noun----------
Meaning: The process of growth or increase, typically by the gradual accumulation of additional layers or matter.
Example: the accretion of sediments in coastal mangroves

(accumulation,collecting,gathering,amassing,cumulation,accrual,growth,formation,enlargement,increase,gain,augmentation,rise,mushrooming,snowballing,)
"
accumulate,"
----------transitive verb----------
Meaning: Gather together or acquire an increasing number or quantity of.
Example: investigators have yet to accumulate enough evidence

(gather,collect,assemble,)
"
accurate,"
----------adjective----------
Meaning: (of information, measurements, statistics, etc.) correct in all details; exact.
Example: accurate information about the illness is essential

(correct,precise,exact,right,errorless,error-free,without error,faultless,perfect,valid,specific,detailed,minute,explicit,clear-cut,word for word,unambiguous,meticulous,authoritative,reliable,canonical,)
----------adjective----------
Meaning: (with reference to a weapon, missile, or shot) capable of or successful in reaching the intended target.
Example: reliable, accurate rifles

(well aimed,precise,on target,unerring,deadly,lethal,sure,true,on the mark,careful,meticulous,painstaking,precision,)
"
accusatory,"
----------adjective----------
Meaning: Indicating or suggesting that one believes a person has done something wrong.
Example: he pointed an accusatory finger in her direction

(disapproving,reproving,full of reproof,critical,censorious,disparaging,disappointed,withering,accusatory,admonitory,condemnatory,castigatory,fault-finding,)
"
accused,"
----------noun----------
Meaning: A person or group of people who are charged with or on trial for a crime.
Example: the accused was ordered to stand trial on a number of charges

(litigator,opponent in law,opponent,contestant,contender,disputant,plaintiff,claimant,complainant,petitioner,appellant,respondent,party,interest,defendant,accused,)
"
ace,"
----------noun----------
Meaning: A playing card with a single spot on it, ranked as the highest card in its suit in most card games.
----------noun----------
Meaning: A person who excels at a particular sport or other activity.

(expert,master,genius,virtuoso,maestro,professional,adept,past master,doyen,champion,star,winner,)
----------noun----------
Meaning: (in tennis and similar games) a service that an opponent is unable to touch and thus wins a point.

----------adjective----------
Meaning: Very good.

(excellent,very good,first-rate,first-class,marvellous,wonderful,magnificent,outstanding,superlative,formidable,virtuoso,masterly,expert,champion,fine,consummate,skilful,adept,)

----------transitive verb----------
Meaning: (in tennis and similar games) serve an ace against (an opponent).
"
achieve,"
----------transitive verb----------
Meaning: Successfully bring about or reach (a desired objective, level, or result) by effort, skill, or courage.
Example: he achieved his ambition to become a journalist

(attain,reach,arrive at,)
"
acid,"
----------noun----------
Meaning: A chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red; typically, a corrosive or sour-tasting liquid of this kind.
----------noun----------
Meaning: A molecule or other entity that can donate a proton or accept an electron pair in reactions.
----------noun----------
Meaning: The drug LSD.

----------adjective----------
Meaning: Containing acid or having the properties of an acid; having a pH of less than 7.
Example: poor, acid soils

(caustic,corroding,eroding,erosive,abrasive,biting,mordant,burning,stinging,)
----------adjective----------
Meaning: Sharp-tasting or sour.
Example: acid fruit

(acidic,sour,tart,bitter,unsweetened,sharp,biting,acrid,pungent,acerbic,vinegary,vinegarish,acetic,acetous,)
----------adjective----------
Meaning: (of rock, especially lava) containing a relatively high proportion of silica.
"
